loss,accuracy,auc,binary_crossentropy,val_loss,val_accuracy,val_auc,val_binary_crossentropy,lr
1.8213618993759155,0.515454113483429,0.5251489877700806,1.8213618993759155,0.6822565793991089,0.5295698642730713,0.5903139114379883,0.6822565793991089,0.001
0.6899613738059998,0.5397051572799683,0.5527902245521545,0.6899613738059998,0.6919428706169128,0.5161290168762207,0.5298733711242676,0.6919428706169128,0.001
0.6940926909446716,0.5330480337142944,0.5434708595275879,0.6940926909446716,0.6946234703063965,0.5,0.5351486206054688,0.6946234703063965,0.001
0.6982147097587585,0.511650025844574,0.5190380811691284,0.6982147097587585,0.6976649165153503,0.5080645084381104,0.5043068528175354,0.6976649165153503,0.001
0.6840289831161499,0.5363765954971313,0.5645037293434143,0.6840289831161499,0.7127888798713684,0.5322580933570862,0.5138599872589111,0.7127888798713684,0.00020000001
0.6766229271888733,0.5939134359359741,0.6120977997779846,0.6766229271888733,0.7156994938850403,0.5725806355476379,0.5499768257141113,0.7156994938850403,0.00020000001
0.6727764010429382,0.5748929977416992,0.6131908893585205,0.6727764010429382,0.727558434009552,0.5779569745063782,0.5786073207855225,0.727558434009552,0.00020000001
0.6577119827270508,0.6015216112136841,0.646709144115448,0.6577119827270508,0.7517961859703064,0.5752688050270081,0.6119059324264526,0.7517961859703064,0.00020000001
0.6469241380691528,0.6243461966514587,0.6658146977424622,0.6469241380691528,0.7705793380737305,0.6129032373428345,0.648008406162262,0.7705793380737305,0.00020000001
0.6334224939346313,0.6381359696388245,0.6870062351226807,0.6334224939346313,0.8333516120910645,0.6317204236984253,0.6784599423408508,0.8333516120910645,0.00020000001
0.6246119141578674,0.6395625472068787,0.7060452699661255,0.6246119141578674,0.7998753190040588,0.6048387289047241,0.6442652344703674,0.7998753190040588,0.00020000001
